"Monitoring",462,"CRA; Unspecified","Unknown Department"
"Openshift Container Platform",460,"Critical","Unknown Department"
"EDW (Enterprise Data Warehouse)",390,"Critical","Unknown Department"
"K8S (Kubernetes)",286,"CRA; Critical","Unknown Department"
"BRISIM",259,"Very High","Unknown Department"
"Qcash",196,"Critical; Unspecified","Unknown Department"
"Ansible",130,"Medium","Unknown Department"
"VMWare",125,"Critical","Unknown Department"
"BRINETS Web",120,"High","Unknown Department"
"Atlassian Bamboo",99,"High","Unknown Department"
"Mail Server",93,"Critical","Unknown Department"
"Big Data Platform",82,"Very High; Critical","Unknown Department"
"MDM (Master Data Management)",82,"Very High","Unknown Department"
"DataHub",77,"Very High; Critical","Unknown Department"
"Anti Virus Management",76,"Critical","Unknown Department"
"Active Directory / Directory Service",66,"Critical","Unknown Department"
"IAM Platform",60,"Critical","Unknown Department"
"BRI Dashboard",58,"Low","Unknown Department"
"CAPAM (CyberARK Privilage Access Management)",56,"Critical","Unknown Department"
"Zabbix",53,"Critical","Unknown Department"
"BRIBRAIN",50,"High","Unknown Department"
"Confluent Kafka",50,"Critical","Unknown Department"
"Desktop Management",49,"CRA","Unknown Department"
"Storage Management",41,"Critical","Unknown Department"
"BRIMEN",40,"High","Unknown Department"
"BRINETS WEB",39,"High","Unknown Department"
"Safewatch",37,"Very High","Unknown Department"
"Elastic Search (ELK)",37,"CRA; Critical","Unknown Department"
"BRI Merchant",34,"High","Unknown Department"
"Mail Gateway / Antispam",32,"Critical","Unknown Department"
"KJT",31,"CRA","Unknown Department"
"BRIStars: BRITAXS 2.0",30,"High","Unknown Department"
"Monitoring INF",30,"Medium","Unknown Department"
"BRINETS Express",29,"Medium","Unknown Department"
"BPR",28,"Unspecified","Unknown Department"
"Third Party Identity Management (TPIM)",26,"Low","Unknown Department"
"SAST (Static Application Security Testing)",26,"Critical","Unknown Department"
"MinIO",26,"CRA","Unknown Department"
"Zabbix : Grafana",26,"High","Unknown Department"
"BRITAM",23,"High","Unknown Department"
"Brinets Express",23,"Medium","Unknown Department"
"Cluster Ironport Incoming Outgoing Internal",23,"CRA","Unknown Department"
"Data Integration",23,"Very High; Medium","Unknown Department"
"Data Visualization",22,"Very High","Unknown Department"
"BRIStars: RRM Tools",22,"Medium","Unknown Department"
"Proxy DC",22,"Medium","Unknown Department"
"BRILink Support System",21,"Very High","Unknown Department"
"Data Streaming",21,"Very High","Unknown Department"
"Nexus Repository",21,"Low","Unknown Department"
"BRICBM (Corporate Billing Management) / SCM (Supply Chain Management)",21,"High","Unknown Department"
"Wholesale Super Apps",21,"CRA","Unknown Department"
"IST (Integrated Sales Tools)",21,"Medium","Unknown Department"
"BRIFIRST",20,"Critical","Unknown Department"
"FSRV",20,"Very High","Unknown Department"
"New BRICARE",19,"High","Unknown Department"
