🔍 Fetching applications without department mapping...

�� Summary:
Total Applications without Department: 548
Total VMs in Unknown Department: 5860

====================================================================================================
Application                                        VMs        Kritikalitas
====================================================================================================
  1. Monitoring                                      462   CRA, Unspecified
  2. Openshift Container Platform                    460   Critical
  3. EDW (Enterprise Data Warehouse)                 390   Critical
  4. K8S (Kubernetes)                                286   CRA, Critical
  5. BRISIM                                          259   Very High
  6. Qcash                                           196   Critical, Unspecified
  7. Ansible                                         130   Medium
  8. VMWare                                          125   Critical
  9. BRINETS Web                                     120   High
 10. Atlassian Bamboo                                 99   High
 11. Mail Server                                      93   Critical
 12. Big Data Platform                                82   Very High, Critical
 13. MDM (Master Data Management)                     82   Very High
 14. DataHub                                          77   Very High, Critical
 15. Anti Virus Management                            76   Critical
 16. Active Directory / Directory Service             66   Critical
 17. IAM Platform                                     60   Critical
 18. BRI Dashboard                                    58   Low
 19. CAPAM (CyberARK Privilage Access Management)     56   Critical
 20. Zabbix                                           53   Critical
 21. BRIBRAIN                                         50   High
 22. Confluent Kafka                                  50   Critical
 23. Desktop Management                               49   CRA
 24. Storage Management                               41   Critical
 25. BRIMEN                                           40   High
 26. BRINETS WEB                                      39   High
 27. Safewatch                                        37   Very High
 28. Elastic Search (ELK)                             37   CRA, Critical
 29. BRI Merchant                                     34   High
 30. Mail Gateway / Antispam                          32   Critical
 31. KJT                                              31   CRA
 32. BRIStars: BRITAXS 2.0                            30   High
 33. Monitoring INF                                   30   Medium
 34. BRINETS Express                                  29   Medium
 35. BPR                                              28   Unspecified
 36. Third Party Identity Management (TPIM)           26   Low
 37. SAST (Static Application Security Testing)       26   Critical
 38. MinIO                                            26   CRA
 39. Zabbix : Grafana                                 26   High
 40. BRITAM                                           23   High
 41. Brinets Express                                  23   Medium
 42. Cluster Ironport Incoming Outgoing Internal      23   CRA
 43. Data Integration                                 23   Very High, Medium
 44. Data Visualization                               22   Very High
 45. BRIStars: RRM Tools                              22   Medium
 46. Proxy DC                                         22   Medium
 47. BRILink Support System                           21   Very High
 48. Data Streaming                                   21   Very High
 49. Nexus Repository                                 21   Low
 50. BRICBM (Corporate Billing Management) / SCM (Supply Chain Management)    21   High
 51. Wholesale Super Apps                             21   CRA
 52. IST (Integrated Sales Tools)                     21   Medium
 53. BRIFIRST                                         20   Critical
 54. FSRV                                             20   Very High
 55. New BRICARE                                      19   High
 56. Data Loss Prevention                             19   Very High
 57. Operations Console & Workflow Management         19   Unspecified
 58. Tableau                                          19   Very High
 59. Trifia                                           19   Very High
 60. Report Server ODC                                18   Unspecified
 61. XDR                                              17   Critical
 62. BRIFORCE                                         17   Unspecified, CRA
 63. Coretax                                          17   Medium
 64. Customer Data Quality Tools (CDSA)               17   High
 65. Sabrina Chatbot                                  17   Medium
 66. Dashboard Defect Dojo                            17   Low
 67. Network Automation                               16   High
 68. Rekening Koran                                   16   Unspecified
 69. Bitbucket                                        15   High
 70. Rapid 7                                          14   Critical
 71. EDC Controller BRILINK & UKO                     14   Critical
 72. OPRA                                             14   Medium
 73. Clickhouse                                       13   Low
 74. iNMS                                             13   Critical
 75. Confluence                                       13   Critical
 76. SAS (Statistical Analytic System)                13   Medium
 77. Network Access Control                           13   Critical
 78. Server Management                                13   Critical
 79. OCEAN                                            13   Very High
 80. Overbooking Service                              13   Very High
 81. Mobile Apps Security                             12   Critical
 82. Payment Engine                                   12   Unspecified
 83. EDR                                              12   Very High
 84. Rubrik                                           12   Critical
 85. Cloudera Datalake                                12   Very High
 86. PARI Corporate                                   12   Medium
 87. BDS (Branch Delivery System)                     11   Medium
 88. Splunk                                           11   CRA
 89. WM Platform                                      11   CRA
 90. Inventory (GITS)-Jarkom                          10   Critical
 91. Data Masking & Tokenization                      10   Very High
 92. AtScale                                          10   Very High
 93. AIOPS                                            10   Unspecified
 94. WS Entry                                         10   CRA
 95. BMC Control M                                    10   Low
 96. SIKP                                             10   Medium
 97. Overseas Branch Support System (OBRAS)           10   Low
 98. AWS                                              10   Unspecified
 99. Breach & Attack Simulation                        9   Low
100. BRIDRIVE                                          9   Medium
101. ControlCase Data Discovery                        9   Unspecified
102. Kamus Data (KATA)                                 9   Medium
103. Delphix                                           9   Unspecified
104. LBU                                               9   Unspecified
105. Enterprise Data Governance (Kamus Data)           9   Medium
106. ELMO                                              9   CRA, Unspecified
107. Sonarqube                                         9   Low
108. EDC Go                                            9   Unspecified
109. E-Recruitment                                     8   Medium
110. Autentikasi BRI                                   8   CRA
111. CO Branding                                       8   Unspecified
112. SEVATools                                         8   CRA
113. E-Filling Management                              8   Unspecified
114. Digital EA (Digital Enterprise Architecture)      8   Low
115. MRM Tools                                         8   Unspecified
116. KSEI Payment Bank                                 8   CRA
117. BRINeTask                                         8   CRA
118. NTP Server                                        8   Medium
119. Kibana                                            7   Medium
120. Moogsoft                                          7   Medium
121. Galera Cluster Control                            7   Low
122. PGD Data                                          7   Critical, Unspecified
123. Jira                                              7   Medium
124. Brilian News                                      6   Low
125. Firewall Management                               6   Critical
126. Password Management                               6   Critical
127. SSL Automation                                    6   Very High
128. CHM Support                                       6   CRA
129. QMS (Queuing Management System)                   6   Unspecified
130. Remote Agen                                       6   CRA
131. Vulnerability Assessment                          6   Critical
132. Redis Enterprise                                  6   CRA
133. Micro Focus Fortify                               6   CRA
134. Notebook Ownership Program                        6   CRA, Unspecified
135. Briafis                                           5   Medium
136. WS User                                           5   Unspecified, CRA
137. Brilian Calendar                                  5   Unspecified
138. IRE                                               5   Unspecified
139. Scan Engine Vulnerability Management              5   CRA
140. BRI e-Calendar                                    5   Unspecified
141. Proxy Pekerja                                     5   Low
142. Portal MDO                                        5   Unspecified, CRA
143. Simonpots                                         5   Critical
144. Prometheus                                        5   High
145. ADLM CICD Tool                                    5   Critical
146. PRTG                                              5   Critical
147. Graph Studio Platform                             5   Medium
148. Mass TOB (Transfer of Branch)                     5   Medium
149. Jumphost DBA                                      5   CRA
150. Dynatrace                                         5   Low
151. Engine OTP                                        5   CRA, Unspecified
152. SonarQube                                         5   Low
153. EazyBI                                            5   Low
154. BOOST                                             4   Unspecified
155. SolarWinds                                        4   Medium
156. Aria                                              4   Unspecified
157. SSPP (Self Service Passbook Printing)             4   CRA
158. ADDONS                                            4   CRA
159. JIRA                                              4   Medium
160. Management License Cisco                          4   CRA
161. PMO Watch Tower                                   4   Low
162. Cloudera Services                                 4   Very High
163. Pinang                                            4   Unspecified
164. Corona                                            4   CRA, Unspecified
165. SHIELD (Incident & Problem Management)            4   Medium
166. WSUS                                              4   Low
167. Hasura                                            4   High
168. Ezio CAS (Confirm Authentication Server)          4   High
169. Nominal                                           4   Low
170. LDAP Master BRI                                   4   CRA
171. D-Nets                                            4   Very High
172. BRIStars : JARVIS                                 4   Low
173. SWIFT Alliance Access BRITL                       4   Medium
174. SMS Controller                                    4   Unspecified
175. Qlik Replicate                                    4   Critical
176. Merak                                             4   Unspecified
177. SCV (Single Customer View) Client                 4   Medium
178. TADOR (Tax Document Centre)                       4   Low
179. Kriteria Penilaian Kinerja Unggul (KPKU) Kementeri     4   Unspecified
180. ePPT & Tarra H2H                                  4   Unspecified
181. Uniform                                           4   CRA
182. NMS UPS                                           4   Low
183. Dashboard BRI Timor Leste                         4   Unspecified
184. BRIStars: Audio Video Gallery                     4   Low
185. Grafana                                           4   High
186. BRCS                                              3   Unspecified
187. RP4VM (Automation DRM)                            3   High
